seed,epochs_trained,best_epoch,raw_AUROC,raw_AUPRC,raw_Accuracy,raw_Precision,raw_Recall,raw_F1,raw_MCC,raw_Brier,raw_ECE,calibrated_AUROC,calibrated_AUPRC,calibrated_Accuracy,calibrated_Precision,calibrated_Recall,calibrated_F1,calibrated_MCC,calibrated_Brier,calibrated_ECE
1,87,67,0.9718442790156989,0.9776737087026725,0.9284869976359338,0.9559748427672956,0.8983451536643026,0.9262644728823888,0.8585354268559652,0.057620329621061964,0.018682624567516685,0.9718442790156989,0.9776737087026726,0.9290780141843972,0.9548872180451128,0.900709219858156,0.927007299270073,0.8595406404176862,0.05730388260309316,0.01444918682239552
2,122,102,0.9710178338894199,0.9770844688107797,0.9258274231678487,0.9401343921808186,0.9095744680851063,0.9246019825773507,0.8521051470362551,0.058652678323667856,0.02222214661648425,0.9710178338894199,0.9770844688107796,0.9252364066193853,0.9411404046597179,0.9072104018912529,0.9238639783328317,0.8510260525085581,0.0583053022519082,0.021854397029239702
3,134,114,0.9740204215079725,0.9788134874950576,0.9278959810874704,0.937726723095526,0.9166666666666666,0.9270771069934249,0.8560078703127478,0.05558537980010044,0.019012002360296137,0.9740204215079724,0.9788134874950576,0.9290780141843972,0.9437652811735942,0.9125295508274232,0.9278846153846154,0.8586264297352395,0.05490054009046182,0.018259105968038897
4,168,148,0.9731478687076998,0.9785611178452722,0.9293735224586288,0.9476278496611213,0.9089834515366431,0.9279034690799397,0.8594619935132137,0.05635979790942567,0.019821007672824145,0.9731478687076996,0.9785611178452722,0.9296690307328606,0.944920440636475,0.9125295508274232,0.9284425736620566,0.8598433881887592,0.05680765122139971,0.021429379359097975
5,103,83,0.9717332014374417,0.9773577504116137,0.9267139479905437,0.9386391251518833,0.9131205673758865,0.9257040143798683,0.8537434637310136,0.05882980541433206,0.02616632709344039,0.9717332014374417,0.9773577504116135,0.9276004728132388,0.946329426280074,0.9066193853427896,0.926048898279505,0.8559548706484491,0.057610590632674166,0.019375684211934335
6,120,100,0.9746327453906298,0.9792849982554067,0.9287825059101655,0.9464615384615385,0.9089834515366431,0.9273439855290926,0.8582381388762805,0.05536137577487792,0.013940600602685035,0.9746327453906298,0.9792849982554066,0.9299645390070922,0.9487970388648982,0.9089834515366431,0.9284636281316028,0.8606871712463673,0.055262684134389575,0.017116565666039404
7,145,125,0.9735048538805895,0.9790669276526768,0.9213947990543735,0.9284855769230769,0.9131205673758865,0.9207389749702025,0.8429050214725344,0.056060880757299196,0.019197923214712528,0.9735048538805895,0.9790669276526768,0.9237588652482269,0.9334945586457074,0.9125295508274232,0.9228930065750149,0.8477315511246412,0.05563696136551966,0.014956215695818769
8,98,78,0.9730091963851584,0.978414633713206,0.9261229314420804,0.9450617283950618,0.9048463356973995,0.9245169082125603,0.8530185247499198,0.057313171256630435,0.02486531959095318,0.9730091963851584,0.978414633713206,0.9261229314420804,0.9489414694894147,0.900709219858156,0.9241964827167981,0.8533488579385543,0.056049721177638755,0.013412614404699841
9,188,168,0.9727594464843596,0.9780422438049591,0.9258274231678487,0.9342977697408077,0.9160756501182034,0.9250969859743361,0.8518168723358012,0.05774537560315236,0.022859875322211693,0.9727594464843597,0.9780422438049591,0.9261229314420804,0.9338146811070999,0.91725768321513,0.9254621347644603,0.8523798549582927,0.05802330580720124,0.0253899274307259
10,131,111,0.9723277109915107,0.9783501397143909,0.9273049645390071,0.9355421686746987,0.9178486997635934,0.9266109785202865,0.8547628101439143,0.05800197324976851,0.024722775996812895,0.9723277109915107,0.978350139714391,0.9270094562647754,0.939209726443769,0.9131205673758865,0.9259814204375187,0.8543485859301836,0.05687279410603903,0.0230168298635323
