metric,mean,standard_deviation,minimum,maximum,n_independent_runs
calibrated_AUROC,0.9727997557690482,0.00110364335018317,0.9710178338894199,0.9746327453906298,10
calibrated_AUPRC,0.9782649476406036,0.0007240049975607568,0.9770844688107796,0.9792849982554066,10
calibrated_Accuracy,0.9273640661938535,0.002074646748132524,0.9237588652482269,0.9299645390070922,10
calibrated_Precision,0.9435300245345862,0.006793052054255002,0.9334945586457074,0.9548872180451128,10
calibrated_Recall,0.9092198581560282,0.005460998593383348,0.900709219858156,0.91725768321513,10
calibrated_F1,0.9260244037554475,0.0019538226847166332,0.9228930065750149,0.9284636281316028,10
calibrated_MCC,0.8553487402696731,0.004319268100470543,0.8477315511246412,0.8606871712463673,10
calibrated_Brier,0.056677343339032536,0.0011745042912960362,0.05490054009046182,0.0583053022519082,10
calibrated_ECE,0.01892599064515226,0.003992759345200938,0.013412614404699841,0.0253899274307259,10
