metric,estimate,ci_2.5%,ci_97.5%,bootstrap_replicates
AUROC,0.9751483130180127,0.9703163597711942,0.9794219529813502,2000
AUPRC,0.9801295208264041,0.9764455149386592,0.983422667828823,2000
Accuracy,0.932033096926714,0.9237588652482269,0.9403073286052009,2000
Precision,0.9540372670807453,0.9442743417023882,0.9638097317529631,2000
Recall,0.9078014184397163,0.8936170212765957,0.9213947990543735,2000
F1,0.9303452453058751,0.921669314132024,0.9389994076557389,2000
MCC,0.8650826996276688,0.8484996279417086,0.8814188439050767,2000
Brier,0.053513402098004266,0.04829900188613788,0.05904346510819426,2000
ECE,0.013511223697958145,0.010496649367063873,0.02263251170326978,2000
