epoch,loss,accuracy,auroc,auprc,val_loss,val_accuracy,val_auroc,val_auprc
1,0.6836264133453369,0.5548646450042725,0.5284967422485352,0.4385969638824463,0.681185245513916,0.5555555820465088,0.7768988609313965,0.7507004737854004
2,0.6261596083641052,0.6346012949943542,0.7367104887962341,0.6618158221244812,0.5714665055274963,0.7754629850387573,0.8047308921813965,0.7839395403862
3,0.5187991261482239,0.7648134827613831,0.8114116787910461,0.7872123122215271,0.5284788608551025,0.7893518805503845,0.8303276300430298,0.8388180136680603
4,0.4802323281764984,0.7907827496528625,0.8329370617866516,0.8287482261657715,0.5064587593078613,0.7916666865348816,0.832410991191864,0.8433455228805542
5,0.456605464220047,0.8108997941017151,0.8426575660705566,0.8442425727844238,0.5009146928787231,0.7847222089767456,0.8348415493965149,0.8416151404380798
6,0.44559457898139954,0.8101682662963867,0.8513924479484558,0.8540723323822021,0.473987340927124,0.8148148059844971,0.8429796099662781,0.8516238927841187
7,0.4268485903739929,0.8200439214706421,0.8599991202354431,0.8687319159507751,0.4535210132598877,0.8101851940155029,0.8496745228767395,0.8617988228797913
8,0.4294688403606415,0.8244330883026123,0.8616569638252258,0.8614420890808105,0.4658691883087158,0.8171296119689941,0.8519097566604614,0.8662077188491821
9,0.41030019521713257,0.8310168385505676,0.8672849535942078,0.8773850202560425,0.453047513961792,0.8125,0.8539822101593018,0.8669116497039795
10,0.4166083037853241,0.8324798941612244,0.8619117736816406,0.8735359907150269,0.4560528099536896,0.8217592835426331,0.8567166328430176,0.8721349239349365
11,0.41643667221069336,0.8291879892349243,0.8597874045372009,0.8732554912567139,0.4545251131057739,0.8287037014961243,0.8586263060569763,0.8727981448173523
12,0.4074469804763794,0.8310168385505676,0.8676746487617493,0.877954363822937,0.44654789566993713,0.8310185074806213,0.8551866412162781,0.8669354915618896
13,0.4020664691925049,0.8354060053825378,0.8684437274932861,0.8789708018302917,0.45921167731285095,0.8171296119689941,0.8552408814430237,0.8718462586402893
14,0.40700042247772217,0.8354060053825378,0.8653488755226135,0.8753660917282104,0.4569627046585083,0.8263888955116272,0.8588108420372009,0.8723881840705872
15,0.39540204405784607,0.8386978507041931,0.8738541007041931,0.884702742099762,0.4562241733074188,0.8171296119689941,0.8532768487930298,0.8654109239578247
