seed,epochs_trained,best_epoch,raw_AUROC,raw_AUPRC,raw_Accuracy,raw_Precision,raw_Recall,raw_F1,raw_MCC,raw_Brier,raw_ECE,calibrated_AUROC,calibrated_AUPRC,calibrated_Accuracy,calibrated_Precision,calibrated_Recall,calibrated_F1,calibrated_MCC,calibrated_Brier,calibrated_ECE
1,43,23,0.9448140044375143,0.9600402538401493,0.9045508274231678,0.9071980963712076,0.9013002364066194,0.9042395493625852,0.8091187538778861,0.09547915021492089,0.11917376390990776,0.9448140044375143,0.9600402538401493,0.9066193853427896,0.9205378973105135,0.8900709219858156,0.9050480769230769,0.8136845504928991,0.08089541329978407,0.07069956186015969
2,38,18,0.9433839679425917,0.9576749302791413,0.900709219858156,0.8988235294117647,0.9030732860520094,0.9009433962264151,0.8014273978156351,0.09843458251922477,0.11930249753159342,0.9433839679425917,0.9576749302791413,0.9030732860520094,0.9088729016786571,0.8959810874704491,0.9023809523809524,0.8062276815289252,0.08523449410012654,0.07578081622102543
3,50,30,0.9370495769271611,0.9554881865591913,0.9092789598108747,0.9314641744548287,0.8835697399527187,0.9068850470124356,0.8196421446072326,0.09312308171562939,0.10073915949800262,0.9370495769271611,0.9554881865591913,0.9086879432624113,0.9412890874282067,0.8717494089834515,0.9051856397667997,0.8196156044359476,0.08306723589393758,0.07287535621187424
4,31,11,0.944793046403881,0.957602719857266,0.9030732860520094,0.9030732860520094,0.9030732860520094,0.9030732860520094,0.806146572104019,0.09618842347672232,0.10699416458800468,0.944793046403881,0.957602719857266,0.9042553191489362,0.9170731707317074,0.8888888888888888,0.9027611044417767,0.8088927316593926,0.08314571680545806,0.06409712698555313
5,43,23,0.9437224401857719,0.9600839999435941,0.9066193853427896,0.9075829383886256,0.9054373522458629,0.906508875739645,0.8132410432131725,0.09895267790775765,0.12929308427669475,0.9437224401857719,0.9600839999435941,0.9069148936170213,0.9185410334346504,0.8930260047281324,0.9056038357806413,0.8141439465922926,0.07857729777873695,0.06517423207638225
6,61,41,0.9404795337815559,0.958206480870507,0.9045508274231678,0.9062314540059347,0.9024822695035462,0.9043529760142139,0.8091085791169301,0.0968723656662664,0.11128055330709363,0.9404795337815558,0.958206480870507,0.9051418439716312,0.9244582043343653,0.8823877068557919,0.9029331720592683,0.8111240434366725,0.08237531754041245,0.06577614990807006
7,67,47,0.9419251141514232,0.9584027298667362,0.898936170212766,0.8928987194412107,0.9066193853427896,0.8997067448680353,0.7979665567835906,0.09705423755509726,0.11074805232128193,0.9419251141514232,0.9584027298667362,0.9045508274231678,0.9161094224924012,0.890661938534279,0.9032064728798322,0.809413989023129,0.08204468852757067,0.07222287016439183
8,55,35,0.9416675049880121,0.9576333162438508,0.899822695035461,0.9048473967684022,0.8936170212765957,0.8991971454058877,0.799706986493871,0.0998045654980212,0.11349184528195759,0.9416675049880121,0.9576333162438508,0.9033687943262412,0.9327837666455295,0.8693853427895981,0.8999694096053839,0.8086074315669701,0.08398445755138496,0.06183355076278327
9,58,38,0.9404374430640087,0.958062013985266,0.899822695035461,0.9024390243902439,0.8965721040189125,0.8994959976282242,0.7996622892598831,0.09209632096105715,0.09555242172867304,0.9404374430640087,0.958062013985266,0.9057328605200946,0.9188529591214155,0.8900709219858156,0.9042329630741518,0.8118641133448355,0.08423878383452527,0.07282738760507353
10,36,16,0.9444067199839042,0.9600937006627188,0.9001182033096927,0.8949824970828472,0.9066193853427896,0.9007633587786259,0.8003040597698114,0.099457010862144,0.12403740504884268,0.9444067199839042,0.9600937006627188,0.9083924349881797,0.9172705314009661,0.8977541371158393,0.9074074074074074,0.8169698093809656,0.08027655171305997,0.07015574818845645
