metric,estimate,ci_2.5%,ci_97.5%,bootstrap_replicates
AUROC,0.9454535737638953,0.9365675508861057,0.953599306498667,2000
AUPRC,0.9610469030834775,0.9549667160145322,0.9667006230559301,2000
Accuracy,0.9107565011820331,0.900997340425532,0.9202127659574468,2000
Precision,0.9253365973072215,0.9133799283154123,0.9375019124847002,2000
Recall,0.8936170212765957,0.8794326241134752,0.9078014184397163,2000
F1,0.9092002405291641,0.8990915913944811,0.9191632606619845,2000
MCC,0.8219960863702718,0.8022445971638281,0.8410686845381061,2000
Brier,0.08022521440559434,0.07497932993659326,0.08573227611435935,2000
ECE,0.07117332661847736,0.06592086719458871,0.08122522041162623,2000
