metric,mean,standard_deviation,minimum,maximum,n_independent_runs
calibrated_AUROC,0.9422679351865824,0.0024732469933302723,0.9370495769271611,0.9448140044375143,10
calibrated_AUPRC,0.9583288332108422,0.001442366811112217,0.9554881865591913,0.9600937006627188,10
calibrated_Accuracy,0.9056737588652481,0.0019591898960522893,0.9030732860520094,0.9086879432624113,10
calibrated_Precision,0.9215788974578413,0.00925139752663997,0.9088729016786571,0.9412890874282067,10
calibrated_Recall,0.8869976359338061,0.009618228158293746,0.8693853427895981,0.8977541371158393,10
calibrated_F1,0.9038729034319293,0.0020749645575033667,0.8999694096053839,0.9074074074074074,10
calibrated_MCC,0.812054390146203,0.004110401253498761,0.8062276815289252,0.8196156044359476,10
calibrated_Brier,0.08238399570449965,0.002012114585530381,0.07857729777873695,0.08523449410012654,10
calibrated_ECE,0.069144279998377,0.004600430024182032,0.06183355076278327,0.07578081622102543,10
