epoch,loss,accuracy,auroc,auprc,val_loss,val_accuracy,val_auroc,val_auprc
1,0.44310611486434937,0.7906112670898438,0.8753310441970825,0.8832727074623108,0.33124110102653503,0.9036642909049988,0.9506619572639465,0.9555709362030029
2,0.3145955502986908,0.8834008574485779,0.934330940246582,0.9394503831863403,0.27071866393089294,0.9101654887199402,0.9570968747138977,0.9629785418510437
3,0.2901449203491211,0.8960655331611633,0.9413119554519653,0.9497323036193848,0.26152461767196655,0.9208037853240967,0.9613526463508606,0.9677218794822693
4,0.28110599517822266,0.9000337719917297,0.945105791091919,0.9512679576873779,0.2482508420944214,0.9190307259559631,0.9620946049690247,0.9686135053634644
5,0.2736417055130005,0.902482271194458,0.9476407170295715,0.9560168981552124,0.2626369297504425,0.9284870028495789,0.9623035788536072,0.9695455431938171
6,0.26566484570503235,0.9060283899307251,0.9494268894195557,0.9582749605178833,0.2742516100406647,0.9243499040603638,0.9646012187004089,0.9712141752243042
7,0.26158055663108826,0.9077169895172119,0.951318621635437,0.958683967590332,0.25558528304100037,0.9225768446922302,0.9646256566047668,0.9715775847434998
8,0.2549936771392822,0.90923672914505,0.95352703332901,0.9609512686729431,0.24470371007919312,0.9296690225601196,0.9670568108558655,0.9735013246536255
9,0.2549305856227875,0.9074636697769165,0.9541605710983276,0.9615510702133179,0.24835887551307678,0.9302600622177124,0.9659060835838318,0.9728732109069824
10,0.24839340150356293,0.9110942482948303,0.9558759331703186,0.9632616639137268,0.22060854732990265,0.9284870028495789,0.966279149055481,0.9738069176673889
11,0.24414262175559998,0.9129517078399658,0.957161545753479,0.9641546010971069,0.24501647055149078,0.9302600622177124,0.9673634171485901,0.9743538498878479
12,0.2414046972990036,0.9126983880996704,0.9575889110565186,0.9651871919631958,0.23510988056659698,0.9332151412963867,0.968701958656311,0.9756439328193665
13,0.24081575870513916,0.9126983880996704,0.9578609466552734,0.9660236835479736,0.24769139289855957,0.9343971610069275,0.9683749675750732,0.9752088785171509
14,0.23568691313266754,0.9154002070426941,0.9595109224319458,0.9670591354370117,0.23391948640346527,0.9302600622177124,0.9688472747802734,0.9754393100738525
15,0.23087528347969055,0.9163289666175842,0.9621413350105286,0.9685307145118713,0.24480615556240082,0.9332151412963867,0.9685357809066772,0.9753967523574829
16,0.227929949760437,0.9196217656135559,0.9623558521270752,0.9690365791320801,0.22155795991420746,0.9349882006645203,0.9707404375076294,0.9769552946090698
17,0.231459841132164,0.9172576665878296,0.9610097408294678,0.9685482978820801,0.23721085488796234,0.932033121585846,0.9696318507194519,0.9764124155044556
18,0.22753764688968658,0.9162445068359375,0.9627152681350708,0.9692745208740234,0.21477775275707245,0.9332151412963867,0.970191478729248,0.9769240021705627
19,0.22398892045021057,0.9205504655838013,0.9632671475410461,0.9700232744216919,0.20421534776687622,0.9343971610069275,0.9684016108512878,0.9758486151695251
20,0.22523806989192963,0.918017566204071,0.964111864566803,0.9700505137443542,0.2329830378293991,0.9349882006645203,0.970818817615509,0.9775076508522034
21,0.22301757335662842,0.9199594855308533,0.9641026854515076,0.9698542356491089,0.22234706580638885,0.9349882006645203,0.9722732901573181,0.9781728386878967
22,0.21908621490001678,0.920128345489502,0.965742290019989,0.9716718196868896,0.21909649670124054,0.9355791807174683,0.9709493517875671,0.9775571823120117
23,0.21680623292922974,0.9215636849403381,0.9661319255828857,0.9719828963279724,0.219823956489563,0.9343971610069275,0.9714936017990112,0.9777193665504456
24,0.2189163714647293,0.9215636849403381,0.9655343890190125,0.9707879424095154,0.20772966742515564,0.9343971610069275,0.9723801016807556,0.9781335592269897
25,0.2091103047132492,0.9228301048278809,0.9684740304946899,0.9738599061965942,0.21433046460151672,0.936170220375061,0.9722830057144165,0.9787547588348389
26,0.21019598841667175,0.9225768446922302,0.9677577614784241,0.9728386402130127,0.19911709427833557,0.9343971610069275,0.9721433520317078,0.9784389138221741
27,0.2084057480096817,0.9247720241546631,0.9688450694084167,0.9744908809661865,0.21342960000038147,0.936761200428009,0.9731897115707397,0.979285478591919
28,0.20865054428577423,0.9240121841430664,0.9687954187393188,0.9739488959312439,0.20168988406658173,0.9408983588218689,0.9730424284934998,0.979287326335907
29,0.2052362710237503,0.9260385036468506,0.9700626730918884,0.9743959307670593,0.21399760246276855,0.936761200428009,0.9730829000473022,0.9795306921005249
30,0.2107117623090744,0.9221546649932861,0.9679341316223145,0.9733762741088867,0.202606663107872,0.9373522400856018,0.9723801016807556,0.9791062474250793
31,0.20083993673324585,0.9277271032333374,0.9707528948783875,0.9751822352409363,0.1931932270526886,0.9397163391113281,0.9733832478523254,0.9794759154319763
32,0.19984212517738342,0.9258696436882019,0.9716707468032837,0.9767321944236755,0.18998141586780548,0.9414893388748169,0.9758849740028381,0.9810886383056641
33,0.20053626596927643,0.926376223564148,0.9714509844779968,0.9760074615478516,0.19363011419773102,0.9355791807174683,0.9752506017684937,0.980468213558197
34,0.19695135951042175,0.9287402629852295,0.9722192287445068,0.9769537448883057,0.18596486747264862,0.9426714181900024,0.9754763245582581,0.9808108806610107
35,0.19803784787654877,0.9262073636054993,0.972035825252533,0.9765714406967163,0.19654244184494019,0.9391252994537354,0.975229024887085,0.9804880619049072
