metric,mean,standard_deviation,minimum,maximum,n_independent_runs
test_Pearson_r,0.7721313600380519,0.006919986622237167,0.7657811502366827,0.7894128657298818,10
test_Spearman_rho,0.7520359444241608,0.014189595906895162,0.7262993024409602,0.7691803044497325,10
test_R2,0.5273810554234012,0.025482062438418076,0.46509569924967475,0.5524260830144601,10
test_MAE,0.24669595134596073,0.008228179866014373,0.23967003905009854,0.2689715272857557,10
test_RMSE,0.4018840659172705,0.010647992495083507,0.3912143336276475,0.42768145467047325,10
