metric,estimate,ci_2.5%,ci_97.5%,bootstrap_replicates
Pearson_r,0.7802107951088619,0.7553851109271027,0.8044904151146164,2000
Spearman_rho,0.7713645422448923,0.7490773811811272,0.7942633842166122,2000
R2,0.5363941164139334,0.5020390127647967,0.5709390224131117,2000
MAE,0.24283498887984917,0.23095983998570366,0.25562120061561117,2000
RMSE,0.39815928071571827,0.37216642992644017,0.42427981691986066,2000
