epoch,loss,mae,val_loss,val_mae
1,0.05218518525362015,0.184810072183609,0.04771917313337326,0.17625169456005096
2,0.037044428288936615,0.1564541906118393,0.03102087788283825,0.12941572070121765
3,0.028413232415914536,0.12754815816879272,0.032098863273859024,0.1280224770307541
4,0.025673849508166313,0.11705752462148666,0.024883423000574112,0.10925200581550598
5,0.023384544998407364,0.10980360209941864,0.019270027056336403,0.09462232887744904
6,0.022128941491246223,0.10581710934638977,0.0216438677161932,0.09781089425086975
7,0.02133502997457981,0.10283652693033218,0.020278457552194595,0.09480922669172287
8,0.01983231119811535,0.09796389192342758,0.02009863778948784,0.09430548548698425
9,0.019466033205389977,0.09784648567438126,0.020417608320713043,0.09373970329761505
10,0.019663861021399498,0.09840070456266403,0.020067883655428886,0.09329880028963089
11,0.01896771229803562,0.0962044820189476,0.019699253141880035,0.09134047478437424
12,0.01875789277255535,0.09549152851104736,0.020686540752649307,0.09297550469636917
13,0.018332546576857567,0.09357067197561264,0.021331824362277985,0.09579557925462723
14,0.018118608742952347,0.09321607649326324,0.016884107142686844,0.08498571813106537
15,0.01771588809788227,0.09275088459253311,0.01916748844087124,0.08887264132499695
16,0.017715638503432274,0.0921306237578392,0.020890850573778152,0.09112086892127991
17,0.01717090792953968,0.09045016020536423,0.016067199409008026,0.0829152837395668
18,0.017025530338287354,0.09016260504722595,0.017168911173939705,0.08479075878858566
19,0.01695701852440834,0.08988384157419205,0.01768312230706215,0.0850474089384079
20,0.01605631597340107,0.08787912875413895,0.016857324168086052,0.08284327387809753
21,0.01694129779934883,0.08924518525600433,0.018388092517852783,0.08550479263067245
22,0.016699763014912605,0.08879702538251877,0.01860891655087471,0.0872553288936615
23,0.017033442854881287,0.08995150774717331,0.018660051748156548,0.08676422387361526
24,0.016145704314112663,0.08833644539117813,0.01794436201453209,0.08507814258337021
25,0.01605423539876938,0.08682189136743546,0.016920514404773712,0.08328475803136826
26,0.015854157507419586,0.08658105134963989,0.016902701929211617,0.08299251645803452
27,0.016202565282583237,0.08829256892204285,0.018765799701213837,0.08549629896879196
28,0.015469042584300041,0.08532513678073883,0.016401052474975586,0.08162335306406021
29,0.015736041590571404,0.08652157336473465,0.018052974715828896,0.08429266512393951
30,0.015802236273884773,0.08651680499315262,0.016678862273693085,0.08225251734256744
31,0.015703383833169937,0.0857180804014206,0.016002563759684563,0.08071459084749222
32,0.015353590250015259,0.08581985533237457,0.018057767301797867,0.0843074768781662
33,0.015150917693972588,0.08520112931728363,0.016680613160133362,0.08137848973274231
34,0.015401635318994522,0.0858292505145073,0.01618807204067707,0.08186651766300201
35,0.015308158472180367,0.08464699238538742,0.016270650550723076,0.08187860250473022
36,0.014880875125527382,0.08448653668165207,0.016448896378278732,0.08162350207567215
37,0.0148282740265131,0.08344244211912155,0.016885189339518547,0.08201811462640762
38,0.01494196429848671,0.08342289924621582,0.017775218933820724,0.08324526250362396
39,0.015060114674270153,0.08490971475839615,0.017617924138903618,0.08420880138874054
40,0.014551949687302113,0.08284835517406464,0.01671154424548149,0.08132481575012207
41,0.014184447936713696,0.08278701454401016,0.015908993780612946,0.08104248344898224
