mean_predicted_probability	observed_positive_fraction	n
0.0768162660446571	0.07339449541284404	218
0.14886016334196606	0.07349081364829396	762
0.24212275445093895	0.09925558312655088	403
0.34253784469654397	0.08673469387755102	196
0.4452902119701753	0.2682926829268293	82
0.5471753367153602	0.3484848484848485	66
0.6484147110296125	0.3157894736842105	57
0.7518794639029951	0.6455696202531646	79
0.8559570287859584	0.7481481481481481	135
0.9828780969387583	0.9725829725829725	1386
