epoch,loss,accuracy,val_loss,val_accuracy
1,0.6857510805130005,0.5556986331939697,0.6836522817611694,0.5549132823944092
2,0.6760554313659668,0.5560206174850464,0.6569774150848389,0.6734104156494141
3,0.6344816088676453,0.6310366988182068,0.5947801470756531,0.7774566411972046
4,0.5636252164840698,0.7453316450119019,0.5741913914680481,0.7341040372848511
5,0.5280609130859375,0.7562781572341919,0.5169261693954468,0.8121387362480164
6,0.494996577501297,0.7826786637306213,0.4923658072948456,0.8208092451095581
7,0.4733290374279022,0.7968448400497437,0.48034200072288513,0.8121387362480164
8,0.4695163667201996,0.8016741871833801,0.4751950204372406,0.8323699235916138
9,0.44976291060447693,0.8061816096305847,0.4607316255569458,0.8352600932121277
10,0.4451410174369812,0.8171281218528748,0.4504333734512329,0.8468208312988281
11,0.45383909344673157,0.8094011545181274,0.4670058786869049,0.8381502628326416
12,0.43423864245414734,0.8226014375686646,0.4456103444099426,0.8468208312988281
13,0.4414632022380829,0.8187379240989685,0.4485566318035126,0.8352600932121277
14,0.4354082942008972,0.8184159398078918,0.4741570055484772,0.8208092451095581
15,0.4480421841144562,0.8145524859428406,0.4617072343826294,0.8410404920578003
16,0.42677560448646545,0.8213135600090027,0.4388778805732727,0.852601170539856
17,0.41923031210899353,0.8254990577697754,0.4382994472980499,0.849711000919342
18,0.41378042101860046,0.8358016610145569,0.4334108233451843,0.8468208312988281
19,0.40554651618003845,0.8309723138809204,0.44216063618659973,0.8468208312988281
20,0.4109502136707306,0.8358016610145569,0.4397929608821869,0.849711000919342
21,0.4056698679924011,0.8358016610145569,0.43986648321151733,0.8439306616783142
22,0.40355074405670166,0.8377334475517273,0.4382654130458832,0.8410404920578003
23,0.4016922116279602,0.8396651744842529,0.4267190396785736,0.8381502628326416
24,0.3991157114505768,0.8419188857078552,0.4247899055480957,0.849711000919342
25,0.39207834005355835,0.846426248550415,0.4182613492012024,0.8410404920578003
26,0.39609962701797485,0.8383773565292358,0.4361828863620758,0.8352600932121277
27,0.3915829658508301,0.8473921418190002,0.4235450327396393,0.8352600932121277
28,0.3930164575576782,0.8438506126403809,0.43372106552124023,0.8381502628326416
29,0.39264166355133057,0.8406310081481934,0.420423299074173,0.8468208312988281
30,0.3828542232513428,0.8461043238639832,0.41684144735336304,0.8352600932121277
31,0.3859224319458008,0.8461043238639832,0.42241519689559937,0.8323699235916138
32,0.39034444093704224,0.8412749767303467,0.42190542817115784,0.8468208312988281
33,0.3835798501968384,0.8486799597740173,0.41586384177207947,0.8439306616783142
34,0.38546571135520935,0.8422408103942871,0.42497527599334717,0.8323699235916138
35,0.3772057294845581,0.8473921418190002,0.4190167486667633,0.8294797539710999
36,0.37746596336364746,0.8496458530426025,0.4157104194164276,0.8381502628326416
37,0.3766818940639496,0.8457823395729065,0.41061943769454956,0.8352600932121277
38,0.37165725231170654,0.849001944065094,0.42178767919540405,0.8439306616783142
39,0.3658522367477417,0.8535093665122986,0.40921542048454285,0.8381502628326416
40,0.3733265697956085,0.8522214889526367,0.4050852060317993,0.849711000919342
41,0.37494614720344543,0.8473921418190002,0.4118138253688812,0.8439306616783142
42,0.3697444200515747,0.8509336709976196,0.4107009768486023,0.8381502628326416
43,0.36092957854270935,0.857050895690918,0.40971630811691284,0.8410404920578003
44,0.37677812576293945,0.8438506126403809,0.41144654154777527,0.8352600932121277
45,0.3578041195869446,0.8586606383323669,0.4097181558609009,0.8381502628326416
46,0.3620145320892334,0.8525434732437134,0.40932226181030273,0.8410404920578003
47,0.3623204827308655,0.8525434732437134,0.4169680178165436,0.8323699235916138
48,0.3583903908729553,0.8535093665122986,0.42284294962882996,0.8265895843505859
49,0.3606935143470764,0.8538312911987305,0.4204091727733612,0.823699414730072
50,0.35468095541000366,0.8573728203773499,0.41741397976875305,0.8323699235916138
51,0.35027000308036804,0.8622021675109863,0.4122394621372223,0.8352600932121277
52,0.35544654726982117,0.8580167293548584,0.41140371561050415,0.8265895843505859
53,0.35438987612724304,0.862524151802063,0.4182104170322418,0.8439306616783142
54,0.3498447835445404,0.8644558787345886,0.40437355637550354,0.8410404920578003
55,0.3500577509403229,0.8573728203773499,0.41421279311180115,0.8410404920578003
56,0.34571436047554016,0.8609143495559692,0.40065157413482666,0.8468208312988281
57,0.34554070234298706,0.8609143495559692,0.410613089799881,0.8352600932121277
58,0.34383055567741394,0.8612363338470459,0.40264785289764404,0.8294797539710999
59,0.3441949188709259,0.8628460764884949,0.41332778334617615,0.8294797539710999
60,0.3384106159210205,0.866387665271759,0.41139185428619385,0.8410404920578003
61,0.3419608771800995,0.862524151802063,0.41178324818611145,0.8381502628326416
62,0.3326973021030426,0.8634900450706482,0.4215392768383026,0.8381502628326416
63,0.33779317140579224,0.8650997877120972,0.4019814729690552,0.8410404920578003
64,0.3292209506034851,0.8699291944503784,0.4123264253139496,0.8439306616783142
65,0.3374127447605133,0.866387665271759,0.40171733498573303,0.8410404920578003
66,0.3314972519874573,0.8631680607795715,0.4027727544307709,0.8410404920578003
67,0.3328259289264679,0.8673534989356995,0.4038572311401367,0.849711000919342
68,0.3341320753097534,0.8628460764884949,0.40006911754608154,0.8381502628326416
69,0.3278052806854248,0.8641339540481567,0.392397940158844,0.8410404920578003
70,0.3245280683040619,0.8670315742492676,0.3948456346988678,0.8468208312988281
71,0.3236725628376007,0.8673534989356995,0.40894779562950134,0.852601170539856
72,0.32105574011802673,0.8702511191368103,0.4008694589138031,0.8439306616783142
73,0.3164951801300049,0.8728268146514893,0.40047401189804077,0.8468208312988281
74,0.32368019223213196,0.8673534989356995,0.3933541476726532,0.8410404920578003
75,0.31430020928382874,0.8708950281143188,0.3958474397659302,0.8439306616783142
76,0.32159358263015747,0.8699291944503784,0.403593510389328,0.8352600932121277
77,0.3165009915828705,0.8728268146514893,0.4029117524623871,0.8352600932121277
78,0.307393342256546,0.8744365572929382,0.40132638812065125,0.8381502628326416
79,0.3221287727355957,0.8650997877120972,0.4072383940219879,0.8410404920578003
80,0.30548232793807983,0.8750804662704468,0.39768511056900024,0.8352600932121277
81,0.3006158173084259,0.8757243752479553,0.39019647240638733,0.8381502628326416
82,0.3130112588405609,0.8728268146514893,0.39094987511634827,0.8468208312988281
83,0.3000272512435913,0.881519615650177,0.38685500621795654,0.8468208312988281
84,0.307228684425354,0.8776561617851257,0.39059317111968994,0.8410404920578003
85,0.30465203523635864,0.8757243752479553,0.39250510931015015,0.8381502628326416
86,0.3056870698928833,0.8731487393379211,0.4002435505390167,0.8294797539710999
87,0.2972928583621979,0.879909873008728,0.3891471326351166,0.8410404920578003
88,0.2912445664405823,0.8828074932098389,0.38813236355781555,0.8439306616783142
89,0.3028569221496582,0.8744365572929382,0.3894105553627014,0.849711000919342
90,0.2892400026321411,0.8773341774940491,0.39036428928375244,0.8352600932121277
91,0.29388710856437683,0.879909873008728,0.395628422498703,0.8381502628326416
92,0.2922993302345276,0.8734707236289978,0.3770691156387329,0.849711000919342
93,0.294061541557312,0.8757243752479553,0.39570772647857666,0.8208092451095581
94,0.2766399681568146,0.8860270380973816,0.3980778455734253,0.8323699235916138
95,0.278710275888443,0.8808757066726685,0.3909984529018402,0.8381502628326416
96,0.2866372764110565,0.8792659640312195,0.4023837447166443,0.8265895843505859
97,0.27711573243141174,0.879909873008728,0.3953414261341095,0.8323699235916138
98,0.2908347547054291,0.8776561617851257,0.4064537584781647,0.823699414730072
99,0.26763978600502014,0.8908563852310181,0.3861856758594513,0.8294797539710999
100,0.288500040769577,0.8725048303604126,0.4002807140350342,0.8294797539710999
101,0.27709656953811646,0.884095311164856,0.410992830991745,0.8179190754890442
102,0.27645254135131836,0.8850611448287964,0.42168501019477844,0.8150289058685303
103,0.2744623124599457,0.884095311164856,0.39936578273773193,0.8265895843505859
104,0.27348577976226807,0.8882807493209839,0.403073787689209,0.823699414730072
105,0.2800494134426117,0.8821635246276855,0.40105316042900085,0.823699414730072
106,0.2686210870742798,0.8911783695220947,0.4063037633895874,0.8265895843505859
107,0.2673232853412628,0.8908563852310181,0.41588619351387024,0.8208092451095581
108,0.2665059268474579,0.8834514021873474,0.4129541218280792,0.8092485666275024
109,0.26859399676322937,0.8863490223884583,0.41450005769729614,0.8121387362480164
110,0.2633970379829407,0.8860270380973816,0.4016718864440918,0.8179190754890442
111,0.2647870182991028,0.8889246582984924,0.40019264817237854,0.8208092451095581
112,0.25879940390586853,0.8850611448287964,0.3927053213119507,0.8208092451095581
