epoch,loss,accuracy
1,0.6835867762565613,0.555330216884613
2,0.656218409538269,0.5617033839225769
3,0.617048442363739,0.6949594616889954
4,0.5604965686798096,0.7557937502861023
5,0.5048215389251709,0.7717265486717224
6,0.4691501557826996,0.797508716583252
7,0.4579806625843048,0.8056199550628662
8,0.4576088488101959,0.8030127286911011
9,0.4403081238269806,0.8137311935424805
10,0.42840635776519775,0.8264774084091187
11,0.4254012107849121,0.8241599202156067
12,0.4245634078979492,0.826767086982727
13,0.41775259375572205,0.8319814801216125
14,0.41582879424095154,0.8285052180290222
15,0.4123023748397827,0.831402063369751
16,0.4091756343841553,0.8357474207878113
17,0.3970789909362793,0.8403823971748352
18,0.39700618386268616,0.8366164565086365
19,0.40725332498550415,0.8308227062225342
20,0.3964824378490448,0.8438586592674255
21,0.3891030251979828,0.8438586592674255
22,0.3964851498603821,0.8383545875549316
23,0.38212838768959045,0.8479142785072327
24,0.3875303268432617,0.8464658260345459
25,0.38714975118637085,0.8435689210891724
26,0.39119642972946167,0.8392236232757568
27,0.37767788767814636,0.8525492548942566
28,0.37805768847465515,0.8496523499488831
29,0.37870073318481445,0.8467555046081543
30,0.3731640875339508,0.8496523499488831
31,0.36991021037101746,0.852838933467865
32,0.36517220735549927,0.8563151955604553
33,0.36949899792671204,0.8522595763206482
34,0.36797502636909485,0.8542873859405518
35,0.3653067648410797,0.8568945527076721
36,0.3796360492706299,0.8429895639419556
37,0.36101067066192627,0.8539977073669434
38,0.35925477743148804,0.852838933467865
39,0.35805341601371765,0.8580533266067505
40,0.359327495098114,0.8548667430877686
41,0.35294482111930847,0.8609501719474792
42,0.35492169857025146,0.8566048741340637
43,0.3529037535190582,0.8557357788085938
44,0.3409309983253479,0.8641367554664612
45,0.34839150309562683,0.862398624420166
46,0.36093375086784363,0.8548667430877686
47,0.3485002815723419,0.8592120409011841
48,0.34101027250289917,0.861529529094696
49,0.3389526605606079,0.8650057911872864
50,0.3387991189956665,0.8629779815673828
51,0.3389086425304413,0.8644264340400696
52,0.33396807312965393,0.8664542436599731
53,0.33902397751808167,0.8603708148002625
54,0.3374260663986206,0.8580533266067505
55,0.32916492223739624,0.8664542436599731
56,0.3290611207485199,0.8676129579544067
57,0.31891879439353943,0.8684820532798767
58,0.32674363255500793,0.8635573387145996
59,0.31929078698158264,0.8710892200469971
60,0.3147774636745453,0.8696407675743103
61,0.3256336748600006,0.8644264340400696
62,0.32427898049354553,0.8713788986206055
63,0.31625282764434814,0.8719582557678223
64,0.30578550696372986,0.8745654821395874
65,0.3109949827194214,0.8693510890007019
66,0.305962473154068,0.8763036131858826
67,0.311658650636673,0.874275803565979
68,0.3119044601917267,0.8725376725196838
69,0.3108445405960083,0.876593291759491
70,0.295078843832016,0.8705098628997803
71,0.3007581830024719,0.8725376725196838
72,0.30905306339263916,0.8713788986206055
73,0.2937862277030945,0.8731170296669006
74,0.2903498709201813,0.8797798156738281
75,0.29879358410835266,0.8748551607131958
76,0.2947535812854767,0.8699304461479187
77,0.2902567684650421,0.8754345178604126
78,0.2971426248550415,0.8693510890007019
79,0.29218366742134094,0.8803592324256897
80,0.28242871165275574,0.8780417442321777
81,0.27736151218414307,0.8858632445335388
82,0.2755884826183319,0.8844148516654968
83,0.27026793360710144,0.8847045302391052
84,0.2839013636112213,0.8783314228057861
85,0.27451950311660767,0.8890498280525208
86,0.27488306164741516,0.8841251730918884
87,0.2673906981945038,0.8844148516654968
88,0.2729205787181854,0.885283887386322
89,0.2575948238372803,0.8904982805252075
90,0.25708892941474915,0.8916569948196411
91,0.2757282555103302,0.8815179467201233
92,0.26521220803260803,0.8887601494789124
