metric,estimate,ci_2.5%,ci_97.5%,bootstrap_replicates
Pearson_r,0.8829767122810381,0.8690440040615466,0.897069797225997,2000
Spearman_rho,0.8323019963246081,0.8164624695850916,0.848817258708061,2000
R2,0.7732016537481169,0.7502768957213499,0.7963073294869868,2000
MAE,0.188096371225964,0.17794019368768121,0.19855136318684136,2000
RMSE,0.2784853255284156,0.2609013016435549,0.2958282279730214,2000
