metric,mean,standard_deviation,minimum,maximum,n_independent_runs
test_Pearson_r,0.8749809525030372,0.004384888383405456,0.8698131879384488,0.8836378080898181,10
test_Spearman_rho,0.8253696352789888,0.005730491020429674,0.8120064483512105,0.8315747828210251,10
test_R2,0.7596946394174697,0.007648583447696617,0.7486019717836254,0.7713190566569647,10
test_MAE,0.19387199775583266,0.0035097734249615988,0.188640990775201,0.1995510414304643,10
test_RMSE,0.28662527187179665,0.004567562143539113,0.27963875586398196,0.29319955528568664,10
