epoch,loss,mae,val_loss,val_mae
1,0.04874284937977791,0.1628064066171646,0.05242536589503288,0.18412655591964722
2,0.04271490126848221,0.14081971347332,0.052094560116529465,0.18456019461154938
3,0.041065771132707596,0.13761356472969055,0.053473733365535736,0.19014352560043335
4,0.037474896758794785,0.1339808702468872,0.050858039408922195,0.18077129125595093
5,0.036261510103940964,0.13588868081569672,0.04648944362998009,0.1633925437927246
6,0.034731052815914154,0.13514024019241333,0.04067332670092583,0.1429803967475891
7,0.033399954438209534,0.13160276412963867,0.04174766689538956,0.14722126722335815
8,0.032829709351062775,0.12835322320461273,0.048684537410736084,0.17476427555084229
9,0.0321783609688282,0.13180534541606903,0.04601296782493591,0.16807976365089417
10,0.028961310163140297,0.12402737885713577,0.03318997099995613,0.12055052071809769
11,0.02646070532500744,0.11770908534526825,0.03804682940244675,0.1381024271249771
12,0.024936318397521973,0.11249057948589325,0.0374167263507843,0.1356251984834671
13,0.02431367337703705,0.10953064262866974,0.04076491668820381,0.14385703206062317
14,0.022479558363556862,0.1043243408203125,0.042726609855890274,0.14397865533828735
15,0.022111719474196434,0.10348879545927048,0.036637213081121445,0.13144207000732422
16,0.022796453908085823,0.10362859815359116,0.03496883809566498,0.12311780452728271
17,0.02141195721924305,0.0994587168097496,0.03277655318379402,0.11673469096422195
18,0.021480854600667953,0.0998491570353508,0.03257249295711517,0.11553454399108887
19,0.021589038893580437,0.10002163797616959,0.03164801374077797,0.11225126683712006
20,0.020546987652778625,0.0968494787812233,0.03544234856963158,0.12092825025320053
21,0.020896194502711296,0.09821145236492157,0.03647875040769577,0.12392368912696838
22,0.02015129290521145,0.09647694230079651,0.03506647050380707,0.11761978268623352
23,0.019872918725013733,0.0949040949344635,0.03385554999113083,0.11574836075305939
24,0.019333207979798317,0.09170585125684738,0.031323134899139404,0.11181513220071793
25,0.02019488997757435,0.09347273409366608,0.03313811123371124,0.1153092235326767
26,0.019700050354003906,0.09452977776527405,0.03486839309334755,0.11652456223964691
27,0.01958390884101391,0.0925486609339714,0.03142217919230461,0.10788637399673462
28,0.018062446266412735,0.0913781225681305,0.029560217633843422,0.10743125528097153
29,0.019445722922682762,0.09144559502601624,0.026865225285291672,0.10073326528072357
